age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
25,0.0972985616,0.0926508214,0.09968081,0.0982616855,0.0964967458,0.0923253913,0.0918709355,0.0893757183,0.0872090842,0.0869306454,0.0872515342,0.0844424765,0.0889497269,0.0905026452,0.0890043788,0.0871985061,0.0903626283,0.0889784256,0.0915185752,0.0874270386,0.0867028671,0.0877673715,0.0883941662,0.0890271014,0.0898458714,0.0896130295,0.0893862063,0.087665809,0.0880434622,0.0880733266,0.0881104901,0.0881366694,0.0881673821,0.0882037313,0.0882954985,0.0882838531,0.0882616387,0.0882362487,0.0882155219,0.0882013686,0.0882045654,0.0882224553,0.0882569374,0.0883061851,0.0883643064,0.088420402,0.0884629284,0.088500808,0.0885309356,0.0885558413,0.0885724806,0.0885840739,0.088590531,0.0885899586
26,0.115952371,0.115941993,0.1079758983,0.1141087093,0.1124048944,0.11030805,0.105472516,0.1048763328,0.1019573104,0.1011897042,0.1008671447,0.1012394785,0.0979874175,0.1032003433,0.1050005529,0.1032656617,0.1011774477,0.104838795,0.1032354485,0.1061768828,0.1014422743,0.100602378,0.1018356833,0.1025613401,0.1032929911,0.1042405657,0.1039723627,0.1037101281,0.1017196337,0.1021544016,0.1021895655,0.1022340013,0.1022616241,0.1022971496,0.1023404229,0.1024482549,0.1024330428,0.1024091889,0.1023781838,0.1023530203,0.102338116,0.1023424909,0.102363564,0.1024007213,0.1024598587,0.1025271428,0.1025907645,0.1026396338,0.1026843608,0.1027178128,0.102746218,0.1027674947,0.1027806849,0.1027892142
27,0.1401612106,0.1310571148,0.1288997952,0.1206051662,0.1272755918,0.1252260701,0.122746067,0.1172400676,0.1164342689,0.1152183483,0.1143541788,0.1139900416,0.1144048834,0.1107438487,0.1166143912,0.1186379649,0.1166871671,0.1143368737,0.1184574673,0.1166543423,0.1199675694,0.1146350255,0.1136899284,0.1150795868,0.1158950554,0.1167196619,0.1177886565,0.1174845487,0.1171920657,0.1149493342,0.1154391489,0.1154793143,0.1155284819,0.1155603982,0.1156010533,0.1156474032,0.115769937,0.1157533635,0.1157250015,0.1156924925,0.1156623095,0.1156456157,0.1156499849,0.1156730558,0.1157168565,0.1157826116,0.1158562632,0.1159301603,0.1159859441,0.1160337238,0.1160723604,0.1161061131,0.1161289365,0.1161435232
28,0.1479746781,0.1526105359,0.1409976772,0.1387137142,0.1298233962,0.136966785,0.1347699285,0.1321122751,0.1262092936,0.1277228948,0.1263944915,0.125449253,0.1250504428,0.1255047637,0.1215063572,0.1279138675,0.1301263791,0.1279962613,0.1254300964,0.1299313624,0.1279617084,0.1315822978,0.1257584101,0.1247259065,0.1262414863,0.1271322525,0.1280324855,0.1292019324,0.1288709529,0.1285496325,0.1261027466,0.1266361089,0.1266794298,0.1267321787,0.1267682036,0.1268121824,0.1268624538,0.1269966199,0.1269780551,0.126946779,0.1269116172,0.126879088,0.1268605722,0.1268645801,0.1268918097,0.1269373464,0.1270105339,0.1270925718,0.1271726161,0.1272325475,0.1272844464,0.1273296305,0.1273636483,0.1273885194
29,0.1476219205,0.1544583997,0.1560162837,0.1429977831,0.1411621368,0.1325977479,0.1403208106,0.1385445776,0.1362797285,0.132679113,0.1342610272,0.1328693436,0.1318817734,0.131465012,0.1319409261,0.1277575391,0.1344557177,0.1367698271,0.1345450107,0.1318596913,0.1365660267,0.1345073711,0.1382946113,0.1322054463,0.1311238445,0.1327104732,0.1336410314,0.1345840069,0.1358064354,0.135460242,0.1351274415,0.1325646821,0.1331230804,0.1331716657,0.1332244978,0.1332607135,0.1333075536,0.1333611189,0.1335004308,0.133483124,0.1334494482,0.1334134704,0.1333794261,0.1333609229,0.1333632612,0.1333906313,0.1334376684,0.1335147706,0.133599422,0.1336828828,0.133747545,0.1338032859,0.1338471423,0.1338850688
30,0.1534304195,0.148995543,0.1535973554,0.1569675942,0.1439728148,0.1421679459,0.1336228577,0.1413953825,0.1396492333,0.139495009,0.1358290776,0.1374394572,0.1360227428,0.1350183778,0.1345923403,0.1350754787,0.1308159326,0.1376352336,0.1399932276,0.1377276907,0.1349941424,0.1397854486,0.1376894728,0.1415464938,0.1353462689,0.1342467302,0.1358583975,0.1368076453,0.1377677468,0.1390110123,0.1386621363,0.1383222315,0.1357134826,0.1362818125,0.136329684,0.1363833588,0.1364212859,0.1364692134,0.1365223838,0.1366647863,0.1366456593,0.136612783,0.1365738194,0.1365400807,0.1365201261,0.1365234524,0.1365519071,0.1366017412,0.1366778643,0.1367646118,0.136850625,0.1369159809,0.1369709757,0.1370177299
31,0.1365769345,0.1484085595,0.1432924525,0.1470212962,0.151000838,0.1392726818,0.1382391277,0.1306411562,0.1389046856,0.1392667539,0.1391139003,0.1354757404,0.1370722058,0.1356688454,0.1346715142,0.1342493619,0.1347283922,0.1305032763,0.1372696054,0.1396066647,0.1373594466,0.1346475569,0.1394006212,0.1373213474,0.1411484813,0.1349974936,0.1339038516,0.1355050936,0.1364466547,0.1373989621,0.138633462,0.1382852425,0.1379471468,0.1353598789,0.1359245884,0.1359704616,0.1360249691,0.1360636317,0.1361102565,0.1361618897,0.1363027795,0.1362854185,0.1362522309,0.136215001,0.1361807724,0.1361626081,0.1361651226,0.1361923152,0.1362411821,0.1363187832,0.1364047107,0.1364876872,0.136552783,0.13660774
32,0.1226436359,0.1301344267,0.1380797756,0.1324459321,0.136469929,0.1407601292,0.1304503105,0.1300567976,0.1234847638,0.1325481437,0.1328923118,0.13274528,0.1292896874,0.1308067806,0.129473496,0.1285260978,0.1281272351,0.1285826952,0.1245732237,0.1309975264,0.1332146084,0.131081209,0.1285070217,0.1330192825,0.1310443987,0.1346764795,0.1288348588,0.1277984211,0.1293205385,0.1302146593,0.131117352,0.132290505,0.1319582765,0.1316377623,0.1291792196,0.1297150947,0.1297601514,0.1298112483,0.1298470604,0.1298922127,0.1299421379,0.130076443,0.130059307,0.1300283218,0.1299915223,0.1299587613,0.129940486,0.1299440795,0.129970338,0.130016978,0.1300892872,0.1301712831,0.1302518244,0.1303110769
33,0.1096401126,0.1118801222,0.1163044406,0.122982554,0.1188605311,0.1233635304,0.1281704602,0.1196985801,0.1202274358,0.1147926185,0.1231828771,0.1234995591,0.1233646144,0.1201667721,0.1215706107,0.1203381426,0.119459415,0.1190910538,0.1195138689,0.1158041437,0.1217476952,0.1238001085,0.1218258851,0.1194437842,0.1236183143,0.1217911479,0.1251519619,0.1197448863,0.1187866614,0.1201940055,0.1210214978,0.121858283,0.1229425414,0.1226361837,0.1223390785,0.120062348,0.1205583334,0.1206007969,0.1206477868,0.1206809315,0.1207235435,0.1207693307,0.1208931304,0.1208758097,0.1208479833,0.1208146325,0.1207855128,0.1207683213,0.1207720112,0.120795852,0.1208372563,0.1209051374,0.1209826654,0.1210550844
34,0.0986248557,0.0974274679,0.0988237814,0.1025554479,0.1089393975,0.105804281,0.1103222737,0.1151510853,0.1080794708,0.108338775,0.103461349,0.1109941253,0.1112778351,0.1111548476,0.1082835982,0.1095438067,0.1084376087,0.1076493878,0.1073192877,0.1076976071,0.1043695406,0.1097064966,0.1115454898,0.1097736228,0.1076350037,0.1113837896,0.1097443806,0.112757997,0.1079054866,0.1070435476,0.108308536,0.1090510219,0.1098029223,0.110776679,0.1104985317,0.110232639,0.1081889104,0.1086349852,0.1086713011,0.1087163883,0.1087454289,0.1087824423,0.1088244114,0.1089343876,0.1089210247,0.1088953516,0.1088637916,0.1088379863,0.108823898,0.1088263681,0.1088471694,0.108885127,0.1089465443,0.1090148679
